127.0.0.1 - - [14/May/2026 18:05:36] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/app/buyers/page-55bba761aafc87e7.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /home-search/index.txt?_rsc=1sgaz HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/app/sellers/page-2182797403837740.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/app/insights/page-a2b61ca12ca34377.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/app/about/page-b9399f63f3ddb520.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/app/contact/page-5a5d483f026f0765.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/app/home-search/page-b7b9d933e755ff42.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/app/contact/page-5a5d483f026f0765.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:46] "GET /_next/static/chunks/app/contact/page-5a5d483f026f0765.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:52] "GET /icon.svg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:52] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:52] "GET /icon.svg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:52] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:53] "GET /icon.svg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:53] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /home-search/?_=1778796353510 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/media/904be59b21bd51cb-s.p.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /markets/fort-lauderdale.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/css/be5a010b6a9454d5.css HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/media/a273567b21a7c318-s.p.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /logo-lpt.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/chunks/webpack-56fde41b55fa53df.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /home-search/?_=1778796353477 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /manifest.webmanifest HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/chunks/4bd1b696-c41c22badabd4b31.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/chunks/517-e142ec6174824ab2.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/chunks/main-app-437cd2399a48b31a.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/chunks/173-a14b60890aaec8cf.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/media/a273567b21a7c318-s.p.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/media/904be59b21bd51cb-s.p.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/css/be5a010b6a9454d5.css HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/chunks/970-63fea61223d8d0a3.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/chunks/57-d528149d3fd2e48a.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/chunks/app/layout-4bec3a785721c72e.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/chunks/app/home-search/page-b7b9d933e755ff42.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /logo-lpt.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/chunks/webpack-56fde41b55fa53df.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/chunks/4bd1b696-c41c22badabd4b31.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/chunks/main-app-437cd2399a48b31a.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /markets/fort-lauderdale.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/chunks/517-e142ec6174824ab2.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /logos/lpt-realty.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /logos/realtor-r.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /logos/equal-housing.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/chunks/970-63fea61223d8d0a3.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/chunks/57-d528149d3fd2e48a.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/chunks/173-a14b60890aaec8cf.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /logos/lpt-realty.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /logos/realtor-r.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/chunks/app/layout-4bec3a785721c72e.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /logos/equal-housing.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /_next/static/chunks/app/home-search/page-b7b9d933e755ff42.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:54] "GET /manifest.webmanifest HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /home-search/?_=1778796353928 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /_next/static/media/904be59b21bd51cb-s.p.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /_next/static/css/be5a010b6a9454d5.css HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /_next/static/media/a273567b21a7c318-s.p.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /markets/fort-lauderdale.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /index.txt?_rsc=6gye0 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /contact/index.txt?source=home-search&_rsc=6gye0 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /_next/static/chunks/app/page-11e6b81662ba15f2.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /logo-lpt.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /_next/static/chunks/webpack-56fde41b55fa53df.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /_next/static/chunks/app/contact/page-5a5d483f026f0765.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /_next/static/chunks/4bd1b696-c41c22badabd4b31.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /_next/static/chunks/517-e142ec6174824ab2.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /_next/static/chunks/main-app-437cd2399a48b31a.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /_next/static/chunks/173-a14b60890aaec8cf.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /_next/static/chunks/57-d528149d3fd2e48a.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /_next/static/chunks/970-63fea61223d8d0a3.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /index.txt?_rsc=1jo5d HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /_next/static/chunks/app/layout-4bec3a785721c72e.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /_next/static/chunks/app/home-search/page-b7b9d933e755ff42.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /contact/index.txt?source=home-search&_rsc=1jo5d HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /logos/lpt-realty.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /logos/realtor-r.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /logos/equal-housing.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /_next/static/chunks/app/page-11e6b81662ba15f2.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /_next/static/chunks/app/contact/page-5a5d483f026f0765.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /manifest.webmanifest HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /index.txt?_rsc=pgs7x HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /markets/index.txt?_rsc=pgs7x HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /buyers/index.txt?_rsc=pgs7x HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /sellers/index.txt?_rsc=pgs7x HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /_next/static/chunks/app/page-11e6b81662ba15f2.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /insights/index.txt?_rsc=pgs7x HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /about/index.txt?_rsc=pgs7x HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /_next/static/chunks/app/markets/page-c9b599e3f2d203aa.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:55] "GET /contact/index.txt?_rsc=pgs7x HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:56] "GET /_next/static/chunks/app/buyers/page-55bba761aafc87e7.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:56] "GET /_next/static/chunks/app/sellers/page-2182797403837740.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:56] "GET /_next/static/chunks/app/insights/page-a2b61ca12ca34377.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:56] "GET /_next/static/chunks/app/about/page-b9399f63f3ddb520.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:56] "GET /_next/static/chunks/app/contact/page-5a5d483f026f0765.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:56] "GET /icon.svg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:57] "GET /icon.svg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:57] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:57] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/?_=1778796357735 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /_next/static/media/904be59b21bd51cb-s.p.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /_next/static/media/a273567b21a7c318-s.p.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /_next/static/css/be5a010b6a9454d5.css HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/fort-lauderdale.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/hillsboro-mile.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/boca-raton.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/palm-beach.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /manifest.webmanifest HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/delray-beach.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/?_=1778796357855 HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /_next/static/chunks/webpack-56fde41b55fa53df.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /logo-lpt.png HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /_next/static/chunks/4bd1b696-c41c22badabd4b31.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /_next/static/chunks/517-e142ec6174824ab2.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /_next/static/chunks/main-app-437cd2399a48b31a.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /_next/static/chunks/173-a14b60890aaec8cf.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /_next/static/chunks/970-63fea61223d8d0a3.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /_next/static/chunks/57-d528149d3fd2e48a.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /_next/static/chunks/app/layout-4bec3a785721c72e.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /_next/static/chunks/app/markets/page-c9b599e3f2d203aa.js HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/lighthouse-point.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/sea-ranch-lakes.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/pompano-beach.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/deerfield-beach.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/hollywood.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/plantation.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/weston.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/coral-springs.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/davie.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/sunrise.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/coral-ridge.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/victoria-park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/rio-vista.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/harbor-beach.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/las-olas-isles.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/seven-isles.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/bay-colony.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/May/2026 18:05:58] "GET /markets/bermuda-riviera.jpg HTTP/1.1" 200 -
